id	bin_maj	bin_one	bin_all	multi_maj	disagree_bin
79d22e82ee0fd4c9817c385c6b17b58f	0	0	0	0-Kein	1
a8df16f1f9ca7eda74feddc38ef451b4	0	0	0	0-Kein	0
a7ed7076a08dc3e76fa5575b2d03903c	0	0	0	0-Kein	0
49b50013b79e75ce2c75f959a9e66703	0	0	0	0-Kein	0
af5d90ddea21ed854b0c21953c0aef33	0	0	0	0-Kein	0
f9d177f4a6881bc9958cf647d644e6ff	0	0	0	0-Kein	0
a685f20e85014692750fb2d2bf2f43b2	0	0	0	0-Kein	0
3e05bd30e159524e66e91a5349f80706	0	0	0	0-Kein	0
84c9346f9c0b2a4d1de1ff2b70a63768	0	0	0	0-Kein	0
98c1d2e0933342c093d5f4d64045d2f1	0	0	0	0-Kein	0
f16ff6f64b70260cfe2b1a64c4bcd4c8	0	0	0	0-Kein	0
5b5df0e230acfe9a582731721e78d85d	0	0	0	0-Kein	0
31569f6ff2f6c8b458d888b4d334a0ec	0	0	0	0-Kein	0
50f543e7f904955fcdd218efd78b0ad1	0	0	0	0-Kein	0
4199645e00a4067300697aabf9c65cae	0	0	0	0-Kein	0
cda66f2d918c7f6029761d43565c9cc8	0	0	0	0-Kein	0
e80b6696a3d81699810d888bbc863470	0	0	1	0-Kein	1
c559dcc3dc4afc7e461dec524597147d	0	0	1	0-Kein	0
26bf3ba6b9078e91e2be8e814eb15d92	0	0	1	0-Kein	0
68a3fbb85b3a785929d37b816a6536bf	0	0	0	0-Kein	0
ab4b4493f6a133d956198fca194d2af8	0	0	0	0-Kein	0
42e18305fccffc8958345e762a0172ac	0	0	0	0-Kein	1
47d783e139296be61a1e96bc085292c6	0	0	0	0-Kein	0
1556873f4f3ea6311130baba9ae69301	0	0	0	0-Kein	0
b4bf777fee5afb81cb7a8c4ed29b3685	0	0	1	0-Kein	0
02752862fe616a406197137e6419e8fb	0	0	0	0-Kein	0
dc40c195cf437488736e6dc26b80f325	0	0	0	0-Kein	0
658d20b4a63d2c442b6e849447a79c1f	0	0	0	0-Kein	0
e9129d2c623ee0016babec042227b88b	0	0	0	0-Kein	0
df839c4952fdf8c12f8ec14422455c81	0	0	0	0-Kein	0
6d01062019f1d4678954950b4c71fe38	0	0	1	0-Kein	0
021969b3fd18e765d2143013d711f888	0	0	0	0-Kein	0
9e4437a699489bf8dfd1658b52dd9108	0	0	0	0-Kein	0
1d27c60561a021b7ae790f1f8e1ede08	0	0	0	0-Kein	0
f2bd03adf132afa4a7c7256f05c67601	0	0	0	0-Kein	0
d540cc89127df2f2f7badb21e4e6cee9	0	0	0	0-Kein	0
b4129bbbf4b1b74a4f1378e83dd24e9f	0	0	0	0-Kein	0
6df510008d5c34dc9d6ac86a02891844	0	0	0	0-Kein	0
ae5981b70726664e9ffe80ec15916392	0	0	0	0-Kein	0
82280e22b85c2af6fb2839a7f68dea53	0	0	0	0-Kein	1
0c914fde9b2fb3a802f251685d0bd23d	0	0	0	0-Kein	0
87b39c0d3fe536247b01a684a0d3a9e6	0	0	0	0-Kein	0
c35be84570bd0ebf39aa8e260b99560a	0	0	0	0-Kein	0
b1c2af82a341acb1692920fade4d10be	0	0	0	0-Kein	1
c9a0fba49090cbfeb991b7b665f9e914	0	0	0	0-Kein	0
